,Dia,Mes,Year,RangoHora,Aforo,HoraDes,HoraHas,FechaDes,FechaHas,Festivo
134,5,2,2016,9-14 ,1884.0,9,14 ,2016-02-05 09:00:00,2016-02-05 13:59:00,False
135,5,2,2016,14-18 ,737.0,14,18 ,2016-02-05 14:00:00,2016-02-05 17:59:00,False
136,5,2,2016,18-20 ,70.0,18,20 ,2016-02-05 18:00:00,2016-02-05 19:59:00,False
137,5,2,2016,20-24 ,10.0,20,24 ,2016-02-05 20:00:00,2016-02-05 23:59:00,False
138,6,2,2016,0-6,1.0,0,6,2016-02-06 00:00:00,2016-02-06 05:59:00,False
139,6,2,2016,6-9,61.0,6,9,2016-02-06 06:00:00,2016-02-06 08:59:00,False
140,6,2,2016,9-14 ,304.0,9,14 ,2016-02-06 09:00:00,2016-02-06 13:59:00,False
141,6,2,2016,14-18 ,139.0,14,18 ,2016-02-06 14:00:00,2016-02-06 17:59:00,False
142,6,2,2016,18-20 ,16.0,18,20 ,2016-02-06 18:00:00,2016-02-06 19:59:00,False
143,6,2,2016,20-24 ,0.0,20,24 ,2016-02-06 20:00:00,2016-02-06 23:59:00,False
144,7,2,2016,0-6,0.0,0,6,2016-02-07 00:00:00,2016-02-07 05:59:00,False
145,7,2,2016,6-9,0.0,6,9,2016-02-07 06:00:00,2016-02-07 08:59:00,False
146,7,2,2016,9-14 ,0.0,9,14 ,2016-02-07 09:00:00,2016-02-07 13:59:00,False
147,7,2,2016,14-18 ,13.0,14,18 ,2016-02-07 14:00:00,2016-02-07 17:59:00,False
148,7,2,2016,18-20 ,0.0,18,20 ,2016-02-07 18:00:00,2016-02-07 19:59:00,False
149,7,2,2016,20-24 ,0.0,20,24 ,2016-02-07 20:00:00,2016-02-07 23:59:00,False
150,8,2,2016,0-6,5.0,0,6,2016-02-08 00:00:00,2016-02-08 05:59:00,False
151,8,2,2016,6-9,574.0,6,9,2016-02-08 06:00:00,2016-02-08 08:59:00,False
152,8,2,2016,9-14 ,2226.0,9,14 ,2016-02-08 09:00:00,2016-02-08 13:59:00,False
153,8,2,2016,14-18 ,1336.0,14,18 ,2016-02-08 14:00:00,2016-02-08 17:59:00,False
154,8,2,2016,18-20 ,200.0,18,20 ,2016-02-08 18:00:00,2016-02-08 19:59:00,False
155,8,2,2016,20-24 ,12.0,20,24 ,2016-02-08 20:00:00,2016-02-08 23:59:00,False
156,9,2,2016,0-6,9.0,0,6,2016-02-09 00:00:00,2016-02-09 05:59:00,False
157,9,2,2016,6-9,399.0,6,9,2016-02-09 06:00:00,2016-02-09 08:59:00,False
158,9,2,2016,9-14 ,2013.0,9,14 ,2016-02-09 09:00:00,2016-02-09 13:59:00,False
159,9,2,2016,14-18 ,1288.0,14,18 ,2016-02-09 14:00:00,2016-02-09 17:59:00,False
160,9,2,2016,18-20 ,182.0,18,20 ,2016-02-09 18:00:00,2016-02-09 19:59:00,False
161,9,2,2016,20-24 ,20.0,20,24 ,2016-02-09 20:00:00,2016-02-09 23:59:00,False
162,10,2,2016,0-6,4.0,0,6,2016-02-10 00:00:00,2016-02-10 05:59:00,False
163,10,2,2016,6-9,472.0,6,9,2016-02-10 06:00:00,2016-02-10 08:59:00,False
164,10,2,2016,9-14 ,2102.0,9,14 ,2016-02-10 09:00:00,2016-02-10 13:59:00,False
165,10,2,2016,14-18 ,1180.0,14,18 ,2016-02-10 14:00:00,2016-02-10 17:59:00,False
166,10,2,2016,18-20 ,226.0,18,20 ,2016-02-10 18:00:00,2016-02-10 19:59:00,False
167,10,2,2016,20-24 ,5.0,20,24 ,2016-02-10 20:00:00,2016-02-10 23:59:00,False
168,11,2,2016,0-6,4.0,0,6,2016-02-11 00:00:00,2016-02-11 05:59:00,False
169,11,2,2016,6-9,392.0,6,9,2016-02-11 06:00:00,2016-02-11 08:59:00,False
170,11,2,2016,9-14 ,1829.0,9,14 ,2016-02-11 09:00:00,2016-02-11 13:59:00,False
171,11,2,2016,14-18 ,1252.0,14,18 ,2016-02-11 14:00:00,2016-02-11 17:59:00,False
172,11,2,2016,18-20 ,152.0,18,20 ,2016-02-11 18:00:00,2016-02-11 19:59:00,False
173,11,2,2016,20-24 ,13.0,20,24 ,2016-02-11 20:00:00,2016-02-11 23:59:00,False
174,12,2,2016,0-6,3.0,0,6,2016-02-12 00:00:00,2016-02-12 05:59:00,False
175,12,2,2016,6-9,430.0,6,9,2016-02-12 06:00:00,2016-02-12 08:59:00,False
176,12,2,2016,9-14 ,1645.0,9,14 ,2016-02-12 09:00:00,2016-02-12 13:59:00,False
177,12,2,2016,14-18 ,693.0,14,18 ,2016-02-12 14:00:00,2016-02-12 17:59:00,False
178,12,2,2016,18-20 ,109.0,18,20 ,2016-02-12 18:00:00,2016-02-12 19:59:00,False
179,12,2,2016,20-24 ,9.0,20,24 ,2016-02-12 20:00:00,2016-02-12 23:59:00,False
180,13,2,2016,0-6,0.0,0,6,2016-02-13 00:00:00,2016-02-13 05:59:00,False
181,13,2,2016,6-9,64.0,6,9,2016-02-13 06:00:00,2016-02-13 08:59:00,False
182,13,2,2016,9-14 ,402.0,9,14 ,2016-02-13 09:00:00,2016-02-13 13:59:00,False
183,13,2,2016,14-18 ,182.0,14,18 ,2016-02-13 14:00:00,2016-02-13 17:59:00,False
184,13,2,2016,18-20 ,10.0,18,20 ,2016-02-13 18:00:00,2016-02-13 19:59:00,False
185,13,2,2016,20-24 ,0.0,20,24 ,2016-02-13 20:00:00,2016-02-13 23:59:00,False
186,15,2,2016,0-6,2.0,0,6,2016-02-15 00:00:00,2016-02-15 05:59:00,False
187,15,2,2016,6-9,511.0,6,9,2016-02-15 06:00:00,2016-02-15 08:59:00,False
188,15,2,2016,9-14 ,2224.0,9,14 ,2016-02-15 09:00:00,2016-02-15 13:59:00,False
189,15,2,2016,14-18 ,1376.0,14,18 ,2016-02-15 14:00:00,2016-02-15 17:59:00,False
190,15,2,2016,18-20 ,209.0,18,20 ,2016-02-15 18:00:00,2016-02-15 19:59:00,False
191,15,2,2016,20-24 ,32.0,20,24 ,2016-02-15 20:00:00,2016-02-15 23:59:00,False
192,16,2,2016,0-6,1.0,0,6,2016-02-16 00:00:00,2016-02-16 05:59:00,False
193,16,2,2016,6-9,487.0,6,9,2016-02-16 06:00:00,2016-02-16 08:59:00,False
194,16,2,2016,9-14 ,2204.0,9,14 ,2016-02-16 09:00:00,2016-02-16 13:59:00,False
195,16,2,2016,14-18 ,1374.0,14,18 ,2016-02-16 14:00:00,2016-02-16 17:59:00,False
196,16,2,2016,18-20 ,183.0,18,20 ,2016-02-16 18:00:00,2016-02-16 19:59:00,False
197,16,2,2016,20-24 ,6.0,20,24 ,2016-02-16 20:00:00,2016-02-16 23:59:00,False
198,17,2,2016,0-6,0.0,0,6,2016-02-17 00:00:00,2016-02-17 05:59:00,False
199,17,2,2016,6-9,489.0,6,9,2016-02-17 06:00:00,2016-02-17 08:59:00,False
200,17,2,2016,9-14 ,2009.0,9,14 ,2016-02-17 09:00:00,2016-02-17 13:59:00,False
201,17,2,2016,14-18 ,1152.0,14,18 ,2016-02-17 14:00:00,2016-02-17 17:59:00,False
202,17,2,2016,18-20 ,236.0,18,20 ,2016-02-17 18:00:00,2016-02-17 19:59:00,False
203,17,2,2016,20-24 ,16.0,20,24 ,2016-02-17 20:00:00,2016-02-17 23:59:00,False
204,18,2,2016,0-6,2.0,0,6,2016-02-18 00:00:00,2016-02-18 05:59:00,False
205,18,2,2016,6-9,491.0,6,9,2016-02-18 06:00:00,2016-02-18 08:59:00,False
206,18,2,2016,9-14 ,1443.0,9,14 ,2016-02-18 09:00:00,2016-02-18 13:59:00,False
207,18,2,2016,14-18 ,1235.0,14,18 ,2016-02-18 14:00:00,2016-02-18 17:59:00,False
208,18,2,2016,18-20 ,199.0,18,20 ,2016-02-18 18:00:00,2016-02-18 19:59:00,False
209,18,2,2016,20-24 ,15.0,20,24 ,2016-02-18 20:00:00,2016-02-18 23:59:00,False
210,19,2,2016,0-6,2.0,0,6,2016-02-19 00:00:00,2016-02-19 05:59:00,False
211,19,2,2016,6-9,455.0,6,9,2016-02-19 06:00:00,2016-02-19 08:59:00,False
212,19,2,2016,9-14 ,2265.0,9,14 ,2016-02-19 09:00:00,2016-02-19 13:59:00,False
213,19,2,2016,14-18 ,878.0,14,18 ,2016-02-19 14:00:00,2016-02-19 17:59:00,False
214,19,2,2016,18-20 ,105.0,18,20 ,2016-02-19 18:00:00,2016-02-19 19:59:00,False
215,19,2,2016,20-24 ,8.0,20,24 ,2016-02-19 20:00:00,2016-02-19 23:59:00,False
216,20,2,2016,0-6,1.0,0,6,2016-02-20 00:00:00,2016-02-20 05:59:00,False
217,20,2,2016,6-9,64.0,6,9,2016-02-20 06:00:00,2016-02-20 08:59:00,False
218,20,2,2016,9-14 ,424.0,9,14 ,2016-02-20 09:00:00,2016-02-20 13:59:00,False
219,20,2,2016,14-18 ,197.0,14,18 ,2016-02-20 14:00:00,2016-02-20 17:59:00,False
220,20,2,2016,18-20 ,10.0,18,20 ,2016-02-20 18:00:00,2016-02-20 19:59:00,False
221,20,2,2016,20-24 ,0.0,20,24 ,2016-02-20 20:00:00,2016-02-20 23:59:00,False
222,22,2,2016,0-6,4.0,0,6,2016-02-22 00:00:00,2016-02-22 05:59:00,False
223,22,2,2016,6-9,582.0,6,9,2016-02-22 06:00:00,2016-02-22 08:59:00,False
224,22,2,2016,9-14 ,2352.0,9,14 ,2016-02-22 09:00:00,2016-02-22 13:59:00,False
225,22,2,2016,14-18 ,1466.0,14,18 ,2016-02-22 14:00:00,2016-02-22 17:59:00,False
226,22,2,2016,18-20 ,230.0,18,20 ,2016-02-22 18:00:00,2016-02-22 19:59:00,False
227,22,2,2016,20-24 ,5.0,20,24 ,2016-02-22 20:00:00,2016-02-22 23:59:00,False
228,23,2,2016,0-6,2.0,0,6,2016-02-23 00:00:00,2016-02-23 05:59:00,False
229,23,2,2016,6-9,636.0,6,9,2016-02-23 06:00:00,2016-02-23 08:59:00,False
230,23,2,2016,9-14 ,2303.0,9,14 ,2016-02-23 09:00:00,2016-02-23 13:59:00,False
231,23,2,2016,14-18 ,1457.0,14,18 ,2016-02-23 14:00:00,2016-02-23 17:59:00,False
232,23,2,2016,18-20 ,261.0,18,20 ,2016-02-23 18:00:00,2016-02-23 19:59:00,False
233,23,2,2016,20-24 ,9.0,20,24 ,2016-02-23 20:00:00,2016-02-23 23:59:00,False
234,24,2,2016,0-6,2.0,0,6,2016-02-24 00:00:00,2016-02-24 05:59:00,False
235,24,2,2016,6-9,605.0,6,9,2016-02-24 06:00:00,2016-02-24 08:59:00,False
236,24,2,2016,9-14 ,2183.0,9,14 ,2016-02-24 09:00:00,2016-02-24 13:59:00,False
237,24,2,2016,14-18 ,1366.0,14,18 ,2016-02-24 14:00:00,2016-02-24 17:59:00,False
238,24,2,2016,18-20 ,217.0,18,20 ,2016-02-24 18:00:00,2016-02-24 19:59:00,False
239,24,2,2016,20-24 ,10.0,20,24 ,2016-02-24 20:00:00,2016-02-24 23:59:00,False
240,25,2,2016,0-6,2.0,0,6,2016-02-25 00:00:00,2016-02-25 05:59:00,False
241,25,2,2016,6-9,598.0,6,9,2016-02-25 06:00:00,2016-02-25 08:59:00,False
242,25,2,2016,9-14 ,2007.0,9,14 ,2016-02-25 09:00:00,2016-02-25 13:59:00,False
243,25,2,2016,14-18 ,1326.0,14,18 ,2016-02-25 14:00:00,2016-02-25 17:59:00,False
244,25,2,2016,18-20 ,182.0,18,20 ,2016-02-25 18:00:00,2016-02-25 19:59:00,False
245,25,2,2016,20-24 ,9.0,20,24 ,2016-02-25 20:00:00,2016-02-25 23:59:00,False
246,26,2,2016,0-6,2.0,0,6,2016-02-26 00:00:00,2016-02-26 05:59:00,False
247,26,2,2016,6-9,532.0,6,9,2016-02-26 06:00:00,2016-02-26 08:59:00,False
248,26,2,2016,9-14 ,1625.0,9,14 ,2016-02-26 09:00:00,2016-02-26 13:59:00,False
249,26,2,2016,14-18 ,731.0,14,18 ,2016-02-26 14:00:00,2016-02-26 17:59:00,False
250,26,2,2016,18-20 ,101.0,18,20 ,2016-02-26 18:00:00,2016-02-26 19:59:00,False
251,26,2,2016,20-24 ,14.0,20,24 ,2016-02-26 20:00:00,2016-02-26 23:59:00,False
252,27,2,2016,0-6,0.0,0,6,2016-02-27 00:00:00,2016-02-27 05:59:00,False
253,27,2,2016,6-9,92.0,6,9,2016-02-27 06:00:00,2016-02-27 08:59:00,False
254,27,2,2016,9-14 ,461.0,9,14 ,2016-02-27 09:00:00,2016-02-27 13:59:00,False
255,27,2,2016,14-18 ,183.0,14,18 ,2016-02-27 14:00:00,2016-02-27 17:59:00,False
256,27,2,2016,18-20 ,16.0,18,20 ,2016-02-27 18:00:00,2016-02-27 19:59:00,False
257,27,2,2016,20-24 ,0.0,20,24 ,2016-02-27 20:00:00,2016-02-27 23:59:00,False
258,29,2,2016,0-6,3.0,0,6,2016-02-29 00:00:00,2016-02-29 05:59:00,False
259,29,2,2016,6-9,493.0,6,9,2016-02-29 06:00:00,2016-02-29 08:59:00,False
260,29,2,2016,9-14 ,1867.0,9,14 ,2016-02-29 09:00:00,2016-02-29 13:59:00,False
261,29,2,2016,14-18 ,1219.0,14,18 ,2016-02-29 14:00:00,2016-02-29 17:59:00,False
262,29,2,2016,18-20 ,188.0,18,20 ,2016-02-29 18:00:00,2016-02-29 19:59:00,False
263,29,2,2016,20-24 ,7.0,20,24 ,2016-02-29 20:00:00,2016-02-29 23:59:00,False
264,2,3,2016,0-6,,0,6,2016-03-02 00:00:00,2016-03-02 05:59:00,False
265,2,3,2016,6-9,,6,9,2016-03-02 06:00:00,2016-03-02 08:59:00,False
